session_count,session_duration,unique_feature_accessed,feature_frequency,task_completion_rate,task_time,error_count,tutorial_accessed,shortcut_used,freq_antrean,freq_riwayat,freq_perubahan_data,label
1,139.0,1,2.0,0.0,58.5,2,7,0,2,0,0,pemula
1,163.0,1,4.0,0.0,0.0,0,0,0,0,4,0,pemula
2,178.0,1,3.0,1.0,129.0,3,0,0,0,0,3,pemula
2,154.0,3,3.0,0.0,65.0,0,6,0,1,1,1,pemula
2,143.0,1,4.0,0.0,0.0,0,0,0,0,4,0,pemula
2,123.0,1,2.0,0.5,39.0,1,7,0,2,0,0,pemula
2,187.0,1,7.0,0.0,45.33,0,3,0,0,0,7,pemula
2,162.0,1,1.0,1.0,123.0,1,6,0,1,0,0,pemula
2,116.0,3,4.0,0.0,27.5,0,7,0,2,1,1,pemula
2,100.0,1,3.0,1.0,59.0,4,0,0,0,0,3,pemula
2,159.0,1,2.0,0.0,0.0,0,0,2,2,0,0,pemula
2,130.0,1,3.0,0.33,29.0,0,10,0,3,0,0,pemula
2,134.0,3,4.0,0.0,24.0,0,6,0,1,2,1,pemula
2,161.0,1,3.0,0.0,0.0,0,0,0,0,3,0,pemula
3,186.0,1,2.0,0.0,0.0,0,6,0,2,0,0,pemula
3,185.0,1,3.0,1.0,144.0,3,3,0,0,0,3,pemula
2,207.0,2,7.0,0.0,55.0,0,0,0,0,2,5,pemula
2,205.0,1,2.0,0.5,86.5,0,7,0,2,0,0,pemula
2,152.0,1,4.0,0.0,0.0,0,0,0,0,4,0,pemula
2,194.0,1,3.0,1.0,165.0,1,0,0,0,0,3,pemula
2,136.0,1,1.0,1.0,106.0,0,6,0,1,0,0,pemula
2,177.0,2,4.0,0.0,8.0,0,3,0,1,3,0,pemula
2,130.0,1,3.0,1.0,94.0,1,0,0,0,0,3,pemula
2,130.0,1,2.0,0.0,0.0,0,8,0,2,0,0,pemula
4,155.0,3,6.0,0.0,33.0,0,6,0,1,2,3,pemula
2,198.0,1,1.0,1.0,162.0,0,6,0,1,0,0,pemula
2,174.0,1,3.0,0.0,41.0,0,6,2,3,0,0,pemula
2,114.0,1,3.0,1.0,79.0,1,3,0,0,0,3,pemula
2,187.0,3,3.0,0.0,63.0,0,6,0,1,1,1,pemula
2,158.0,1,3.0,0.0,0.0,0,0,0,0,3,0,pemula
1,48.0,1,1.0,1.0,28.0,0,1,1,1,0,0,mahir
2,52.0,1,2.0,0.0,0.0,0,0,0,0,2,0,mahir
2,44.0,1,3.0,1.0,17.0,0,0,0,0,0,3,mahir
2,62.0,2,3.0,1.0,11.0,0,0,0,1,2,0,mahir
2,37.0,1,2.0,0.0,0.0,0,0,0,0,2,0,mahir
2,46.0,1,1.0,0.0,0.0,0,0,1,1,0,0,mahir
2,52.0,1,3.0,1.0,20.0,0,0,0,0,0,3,mahir
2,57.0,2,4.0,1.0,13.5,0,0,1,1,0,3,mahir
2,49.0,1,2.0,0.0,0.0,0,0,0,0,2,0,mahir
2,57.0,1,3.0,1.0,26.0,0,1,0,0,0,3,mahir
2,47.0,1,2.0,1.0,12.0,0,0,1,2,0,0,mahir
2,58.0,2,3.0,0.0,0.0,0,0,0,0,2,1,mahir
2,76.0,1,1.0,1.0,36.0,0,1,1,1,0,0,mahir
2,66.0,2,5.0,1.0,18.0,0,0,0,0,2,3,mahir
2,54.0,1,1.0,0.0,0.0,0,0,1,1,0,0,mahir
2,75.0,1,5.0,1.0,14.0,0,0,0,0,0,5,mahir
2,57.0,1,3.0,0.0,0.0,0,0,0,0,3,0,mahir
2,51.0,1,2.0,1.0,12.0,0,1,1,2,0,0,mahir
2,51.0,1,3.0,1.0,17.0,0,1,0,0,0,3,mahir
2,84.0,3,6.0,1.0,13.0,0,1,1,1,2,3,mahir
2,42.0,1,1.0,1.0,9.0,0,0,1,1,0,0,mahir
2,75.0,2,5.0,1.0,26.0,0,0,0,0,2,3,mahir
2,61.0,2,3.0,0.0,0.0,0,0,1,1,2,0,mahir
2,46.0,1,3.0,1.0,15.0,0,1,0,0,0,3,mahir
2,59.0,1,2.0,1.0,25.0,0,1,1,2,0,0,mahir
2,68.0,1,2.0,0.0,0.0,0,0,0,0,2,0,mahir
2,80.0,2,6.0,1.0,13.67,0,1,1,1,0,5,mahir
2,47.0,1,3.0,1.0,15.0,0,0,0,0,0,3,mahir
2,70.0,3,6.0,1.0,9.0,0,0,1,1,2,3,mahir
2,53.0,1,2.0,0.0,0.0,0,0,1,2,0,0,mahir
