session_count,session_duration,unique_feature_accessed,feature_frequency,task_completion_rate,task_time,error_count,tutorial_accessed,shortcut_used,freq_antrean,freq_riwayat,freq_perubahan_data,label
157,115.38,2,6.09,0.93,30.97,2,0,4,1,0,6,mahir
114,291.68,3,5.54,0.99,144.52,2,9,0,1,0,3,pemula
150,114.54,3,3.7,1.0,47.11,1,0,1,2,0,3,mahir
127,164.33,1,2.87,1.0,116.42,2,0,0,0,0,4,pemula
122,179.96,1,2.85,0.98,106.62,1,0,0,0,0,3,pemula
101,290.37,3,5.27,0.94,116.99,3,6,0,1,1,3,pemula
86,192.25,2,2.02,0.91,124.64,0,7,0,0,1,0,pemula
166,113.73,2,5.18,0.89,31.07,0,0,3,1,0,5,mahir
135,61.0,2,2.0,1.0,28.0,0,0,1,1,1,0,mahir
90,201.0,2,2.0,1.0,121.0,0,6,0,1,1,0,pemula
174,96.0,3,8.0,1.0,20.67,0,0,4,1,2,5,mahir
100,208.4,3,0.93,1.0,159.81,3,6,0,1,0,0,pemula
145,88.47,3,4.02,0.9,57.37,0,0,1,0,0,3,mahir
90,227.55,1,3.11,0.9,152.62,2,3,0,0,0,4,pemula
169,74.7,3,6.32,0.91,21.64,0,2,5,1,2,3,mahir
101,308.0,3,5.0,1.0,115.0,1,6,1,1,1,3,pemula
141,69.05,3,2.91,0.89,41.26,0,1,3,0,2,0,mahir
162,64.06,2,3.17,0.98,42.68,0,1,2,1,2,0,mahir
146,108.0,2,4.0,1.0,42.5,1,0,2,1,0,3,mahir
90,179.34,1,1.04,0.93,202.32,3,5,0,2,0,0,pemula
136,393.72,4,5.7,0.98,141.72,2,9,1,0,0,1,pemula
161,76.6,4,6.43,1.0,22.79,2,0,5,2,3,3,mahir
94,231.34,2,2.25,0.79,143.88,1,5,1,1,2,0,pemula
105,128.35,2,2.7,1.0,92.1,1,5,1,1,2,0,pemula
151,115.17,2,3.73,1.0,40.88,2,0,2,1,0,3,mahir
164,111.0,2,6.0,1.0,29.33,0,0,3,1,0,5,mahir
98,122.69,2,2.97,1.0,111.2,0,6,1,1,1,0,pemula
184,103.02,3,7.88,0.99,22.49,2,0,5,0,1,5,mahir
132,169.0,1,3.0,1.0,122.0,1,0,0,0,0,3,pemula
149,93.58,3,3.84,0.92,63.36,0,1,1,0,0,2,mahir
137,69.0,1,3.0,1.0,38.0,0,0,2,0,0,3,mahir
133,161.84,1,2.71,1.0,118.03,1,0,0,0,0,3,pemula
173,102.44,4,4.47,1.0,33.56,1,0,3,0,1,3,mahir
86,200.64,1,1.02,1.0,176.62,3,6,0,1,1,0,pemula
209,92.02,3,8.14,1.0,22.64,0,1,4,2,2,5,mahir
108,131.0,2,3.0,1.0,104.0,0,6,0,1,2,0,pemula
132,75.45,1,3.06,1.0,36.75,0,0,2,2,0,3,mahir
110,73.61,1,2.73,1.0,42.38,0,0,2,0,0,3,mahir
96,207.91,1,2.79,0.91,150.6,1,3,0,0,0,3,pemula
166,101.0,3,5.0,1.0,32.0,1,0,3,1,1,3,mahir
137,199.82,1,0.98,1.0,209.07,3,5,1,1,0,0,pemula
97,194.11,1,2.82,0.93,135.54,1,3,0,1,0,5,pemula
129,212.0,1,1.0,1.0,187.0,3,6,1,1,0,0,pemula
176,98.83,3,7.75,1.0,22.78,0,0,4,3,2,5,mahir
91,216.99,2,1.92,1.0,138.55,1,6,1,1,1,0,pemula
176,101.0,3,7.0,1.0,22.0,2,0,4,1,1,5,mahir
