session_count,session_duration,unique_feature_accessed,feature_frequency,task_completion_rate,task_time,error_count,tutorial_accessed,shortcut_used,freq_antrean,freq_riwayat,freq_perubahan_data,label
154.0,109.38,2.0,4.92,1.0,36.44,1.0,0.0,2.0,1.0,0.0,4.0,mahir
94.0,223.78,2.0,1.77,1.0,145.28,1.0,6.0,1.0,1.0,1.0,0.0,pemula
172.0,88.92,3.0,7.33,1.0,20.78,0.0,0.0,4.0,1.0,2.0,4.0,mahir
115.0,184.86,1.0,3.0,1.0,124.69,1.0,1.0,0.0,0.0,0.0,3.0,pemula
96.0,214.47,1.0,2.52,1.0,140.16,1.0,4.0,0.0,0.0,0.0,2.0,pemula
95.0,226.31,2.0,2.17,1.0,136.67,1.0,5.0,1.0,1.0,1.0,1.0,pemula
97.0,198.0,1.0,3.0,1.0,144.97,1.0,3.0,0.0,0.0,0.0,3.0,pemula
160.0,87.01,3.0,4.07,1.0,37.6,1.0,0.0,3.0,1.0,1.0,2.0,mahir
135.0,61.0,2.0,2.0,1.0,28.0,0.0,0.0,1.0,1.0,1.0,0.0,mahir
90.0,201.0,2.0,2.0,1.0,121.0,0.0,6.0,0.0,1.0,1.0,0.0,pemula
174.0,96.0,3.0,8.0,1.0,20.67,0.0,0.0,4.0,1.0,2.0,5.0,mahir
123.0,176.04,1.0,2.78,1.0,121.78,1.0,1.0,0.0,0.0,0.0,2.0,pemula
158.0,80.76,2.0,3.65,1.0,40.1,0.0,0.0,3.0,1.0,2.0,1.0,mahir
102.0,241.76,2.0,2.89,1.0,124.12,1.0,7.0,0.0,1.0,1.0,1.0,pemula
167.0,75.13,3.0,6.0,1.0,21.0,0.0,0.0,5.0,1.0,2.0,3.0,mahir
101.0,308.0,3.0,5.0,1.0,115.0,1.0,6.0,1.0,1.0,1.0,3.0,pemula
169.0,106.51,2.0,6.45,1.0,26.04,1.0,0.0,3.0,1.0,0.0,5.0,mahir
175.0,98.25,3.0,7.55,1.0,21.27,1.0,0.0,4.0,1.0,2.0,5.0,mahir
146.0,108.0,2.0,4.0,1.0,42.5,1.0,0.0,2.0,1.0,0.0,3.0,mahir
112.0,221.61,1.0,1.48,1.0,162.01,2.0,6.0,1.0,1.0,0.0,0.0,pemula
108.0,188.73,1.0,3.0,1.0,137.65,1.0,2.0,0.0,0.0,0.0,3.0,pemula
